iter	RMSE
0	7107598.903
1	6658662.797
2	6265587.91
3	5877929.814
4	5554859.087
5	5241116.954
6	4982622.583
7	4742218.691
8	4537008.719
9	4322294.275
10	4143516.336
11	3969206.679
12	3813828.684
13	3658270.319
14	3526581.518
15	3401261.013
16	3277866.145
17	3184226.858
18	3076899.586
19	2965357.425
20	2904400.742
21	2835822.86
22	2747708.942
23	2685866.883
24	2605944.821
25	2549958.41
26	2481603.977
27	2407205.216
28	2359723.857
29	2324073.769
30	2269691.418
31	2226915.09
32	2166574.563
33	2121169.647
34	2097435.285
35	2064294.53
36	2015579.892
37	1974085.544
38	1950093.857
39	1912762.994
40	1882135.899
41	1869210.545
42	1839353.38
43	1823201.473
44	1812463.607
45	1799628.716
46	1791239.505
47	1764240.912
48	1741611.957
49	1709529.27
50	1701417.511
51	1690680.995
52	1669429.787
53	1664711.07
54	1659735.49
55	1635399.341
56	1612495.233
57	1596085.183
58	1582294.255
59	1577786.965
60	1554039.761
61	1542818.133
62	1528109.366
63	1518855.931
64	1510101.902
65	1503933.3
66	1500507.689
67	1495842.221
68	1484188.971
69	1471473.373
70	1467287.435
71	1446412.502
72	1431108.24
73	1418343.781
74	1399371.812
75	1374663.857
76	1358235.311
77	1354589.927
78	1347000.293
79	1338528.401
80	1335485.24
81	1332383.035
82	1325510.034
83	1308650.652
84	1306310.748
85	1292554.897
86	1289802.729
87	1274219.225
88	1272279.458
89	1269921.044
90	1266317.508
91	1247213.298
92	1243657.965
93	1240138.165
94	1224485.72
95	1210947.258
96	1192918.847
97	1180375.32
98	1178441.331
99	1172778.401
