iter	Passed	Remaining
0	2	204
1	3	163
2	4	147
3	5	138
4	6	130
5	7	125
6	9	121
7	10	117
8	11	116
9	12	114
10	13	111
11	14	109
12	16	107
13	17	106
14	18	104
15	19	102
16	20	101
17	21	99
18	23	98
19	24	96
20	25	96
21	26	94
22	27	92
23	28	91
24	30	90
25	31	88
26	32	87
27	33	86
28	35	85
29	36	84
30	37	83
31	38	82
32	39	81
33	41	79
34	42	78
35	43	77
36	44	76
37	45	74
38	47	73
39	48	72
40	49	71
41	50	70
42	52	68
43	53	67
44	54	66
45	55	65
46	56	64
47	58	62
48	59	61
49	60	60
50	61	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	71	49
59	72	48
60	73	47
61	75	45
62	76	44
63	77	43
64	78	42
65	79	41
66	80	39
67	81	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	89	31
74	90	30
75	91	28
76	92	27
77	94	26
78	95	25
79	96	24
80	97	22
81	99	21
82	100	20
83	101	19
84	103	18
85	104	17
86	105	15
87	106	14
88	108	13
89	109	12
90	110	10
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	118	3
97	119	2
98	120	1
99	121	0
