iter	RMSE
0	7072318.306
1	6840304.852
2	6632580.417
3	6412727.893
4	6218810.088
5	6033453.399
6	5865359.011
7	5696201.001
8	5519333.462
9	5369232.254
10	5229037.297
11	5079552.815
12	4934939.207
13	4802963.357
14	4675673.985
15	4546811.717
16	4428062.213
17	4316659.784
18	4209146.821
19	4125632.639
20	4015914.739
21	3914925.595
22	3834081.764
23	3756419.425
24	3684511.885
25	3627269.735
26	3555648.904
27	3477096.705
28	3403280.807
29	3341203.363
30	3275480.931
31	3224298.998
32	3164105.884
33	3106344.144
34	3045707.758
35	2992362.001
36	2940836.128
37	2884948.877
38	2834624.304
39	2790298.917
40	2748659.833
41	2707401.796
42	2670981.182
43	2623982.007
44	2593677.552
45	2560487.082
46	2531954.603
47	2500431.972
48	2462507.489
49	2436920.545
50	2408475.952
51	2377801.649
52	2353972.471
53	2331262.417
54	2310333.886
55	2289972.152
56	2262136.355
57	2252897.633
58	2225090.321
59	2201609.353
60	2176480.793
61	2155939.591
62	2139427.323
63	2132176.027
64	2110771.403
65	2084928.562
66	2067135.484
67	2059248.44
68	2053291.886
69	2037594.437
70	2017925.381
71	1994446.116
72	1985960.909
73	1979067.142
74	1973255.787
75	1967595.581
76	1952629.406
77	1934179.749
78	1911228.142
79	1902564.611
80	1896767.125
81	1888488.648
82	1863595.297
83	1849704.075
84	1845002.276
85	1838967.089
86	1822540.146
87	1810309.773
88	1805848.076
89	1789074.918
90	1785243.172
91	1773461.014
92	1767136.914
93	1760774.145
94	1756744.911
95	1752999.608
96	1745559.03
97	1738213.877
98	1727647.89
99	1724209.662
100	1719450.459
101	1702332.643
102	1698760.744
103	1689579.368
104	1686459.683
105	1681471.679
106	1678294.305
107	1662296.093
108	1650035.807
109	1637618.67
110	1634382.716
111	1624406.339
112	1621197.649
113	1617862.351
114	1603955.314
115	1594460.458
116	1591066.274
117	1588890.203
118	1586036.187
119	1581698.081
120	1579080.218
121	1575190.508
122	1559815.706
123	1557140.907
124	1543884.991
125	1541408.425
126	1529421.177
127	1526358.966
128	1524230.852
129	1510401.251
130	1506416.295
131	1504500.807
132	1493878.704
133	1480716.875
134	1469155.014
135	1458606.616
136	1450452.44
137	1446030.084
138	1438819.147
139	1436326.457
140	1427216.499
141	1421017.609
142	1411705.118
143	1409764.801
144	1407507.411
145	1405846.705
146	1404172.326
147	1402089.631
148	1398064.594
149	1388324.897
150	1386760.745
151	1384966.112
152	1382916.425
153	1381503.467
154	1380180.837
155	1378783.492
156	1377426.58
157	1365509.832
158	1363762.306
159	1354454.158
160	1345645.663
161	1336320.382
162	1326704.856
163	1318888.74
164	1317484.989
165	1308278.481
166	1304412.304
167	1297867.456
168	1293693.132
169	1286877.225
170	1279234.082
171	1270064.459
172	1262696.999
173	1256066.492
174	1250863.252
175	1246210.964
176	1240659.823
177	1239126.326
178	1237086.942
179	1235904.108
180	1232357.27
181	1222690.715
182	1215483.007
183	1207713.436
184	1204772.482
185	1195204.172
186	1185722.572
187	1179017.326
188	1176028.428
189	1170810.584
190	1161495.218
191	1156705.85
192	1150546.601
193	1143902.584
194	1136293.085
195	1132424.369
196	1124327.491
197	1117776.31
198	1109357.7
199	1107353.946
200	1104113.672
201	1100544.591
202	1095557.626
203	1087671.186
204	1081681.768
205	1081050.698
206	1078433.655
207	1075851.925
208	1075173.1
209	1068811.962
210	1061945.538
211	1061292.396
212	1058937.382
213	1056269.414
214	1054496.034
215	1050805.41
216	1043655.681
217	1041556.196
218	1034953.339
219	1031031.277
220	1027557.763
221	1023105.283
222	1016969.804
223	1010764.834
224	1007355.116
225	1006755.293
226	1002908.84
227	999915.4592
228	999459.3142
229	998944.2379
230	994576.012
231	992238.8799
232	986430.7788
233	981656.1449
234	977758.5592
235	971108.289
236	968918.296
237	963472.8766
238	962102.066
239	957641.9475
240	952868.5863
241	947944.4287
242	943805.6233
243	940842.4026
244	936593.98
245	932326.5863
246	931106.1425
247	927335.0714
248	923872.2324
249	921440.7763
250	916483.651
251	912561.1476
252	908315.0884
253	905949.5829
254	902715.0913
255	897953.4995
256	893395.896
257	889237.0286
258	887124.6683
259	883304.6937
260	879738.7055
261	875609.7777
262	872867.3502
263	868919.5477
264	865671.2807
265	862563.5911
266	861032.4229
267	858480.0594
268	853671.7365
269	851809.3891
270	848374.0559
271	845662.7377
272	844732.676
273	840900.3948
274	837310.845
275	834481.8081
276	831787.907
277	828385.2413
278	825789.0721
279	823078.5028
280	821342.2625
281	818451.7324
282	815217.4472
283	813057.6917
284	809445.3297
285	808579.6791
286	807031.3844
287	803774.7
288	803042.827
289	800834.646
290	800117.4137
291	799564.0675
292	797417.6018
293	796892.4346
294	794242.4019
295	791500.3194
296	788364.0284
297	788102.968
298	785442.3302
299	782203.8705
300	780497.843
301	778797.3078
302	775914.5404
303	773529.1988
304	772147.0737
305	770347.6123
306	766886.6425
307	764402.4932
308	761814.4617
309	760776.065
310	759073.1349
311	757586.8607
312	754970.3516
313	753103.2209
314	750824.1432
315	748924.4528
316	748288.1156
317	745167.839
318	744572.9861
319	741766.975
320	738554.0419
321	736004.9436
322	733394.3492
323	733025.4863
324	730300.1415
325	729943.1752
326	729545.8343
327	726755.7235
328	724560.2735
329	722630.8215
330	720526.8411
331	718755.4674
332	716842.5669
333	715330.2887
334	713359.7343
335	710247.5707
336	709056.4685
337	708203.2692
338	706227.2916
339	705979.6322
340	704572.9021
341	704335.8216
342	702418.1262
343	700677.5266
344	698966.8238
345	697349.5358
346	697129.6824
347	695412.1066
348	693857.8178
349	692495.8618
350	691058.2607
351	689269.3999
352	687960.2649
353	686710.6091
354	685182.8107
355	685030.4955
356	683959.3068
357	683812.4775
358	681282.1073
359	680451.7718
360	678825.4189
361	677168.9586
362	676787.1875
363	676072.4728
364	674268.3277
365	673835.5351
366	672363.3929
367	670167.3043
368	669408.8024
369	668606.7276
370	667290.5412
371	667107.0394
372	665258.9333
373	663543.5519
374	662301.2789
375	662172.2074
376	661887.7068
377	661762.1086
378	660873.0744
379	660549.6598
380	659913.2527
381	658599.7063
382	656724.1659
383	655055.8694
384	653308.0444
385	651777.8547
386	650694.5588
387	649272.5129
388	647580.6124
389	646062.6221
390	645371.4374
391	643847.5171
392	641910.1267
393	641300.2858
394	639725.4135
395	637591.6889
396	636015.9144
397	635139.0791
398	634087.7824
399	633359.3756
400	631355.5478
401	629623.9569
402	629514.6685
403	628892.9691
404	627485.2595
405	626734.8189
406	626627.6387
407	626521.5149
408	625795.8272
409	623818.2181
410	622627.0788
411	621603.8898
412	621501.008
413	620092.8497
414	619033.8354
415	617108.5489
416	616167.8783
417	614883.9989
418	613574.8634
419	612215.2785
420	610531.9551
421	609336.3832
422	608525.371
423	607234.6345
424	605722.027
425	604738.2493
426	603090.4758
427	602136.6534
428	601142.8274
429	600295.9476
430	598905.8169
431	597515.2087
432	596986.3694
433	596256.4211
434	594886.4848
435	593618.1088
436	593003.4838
437	591558.9378
438	589923.7441
439	588323.2218
440	586826.4
441	586394.3887
442	584440.3264
443	583392.2831
444	582472.9418
445	581401.1551
446	579876.3176
447	579474.5103
448	578420.9345
449	577546.4839
450	575943.7058
451	575216.1142
452	573631.2665
453	572530.2353
454	571043.5595
455	569208.3313
456	568359.1654
457	567424.1957
458	566807.6581
459	566045.8416
460	564514.5964
461	563270.4563
462	561819.0258
463	561742.4109
464	560449.8177
465	558960.6813
466	557681.1631
467	556028.927
468	555378.7952
469	555305.7723
470	554624.9029
471	553496.8179
472	552811.0957
473	551087.5634
474	550055.7834
475	549131.5611
476	548091.8331
477	547273.3132
478	546500.6929
479	545853.6627
480	545012.8091
481	544942.9863
482	543738.1096
483	542542.4219
484	541294.8724
485	540703.8723
486	540230.4487
487	540165.0617
488	539615.2688
489	539095.9781
490	538662.744
491	537380.3364
492	536327.2002
493	535991.4016
494	535927.7266
495	535576.579
496	534414.1516
497	534075.7067
498	533563.5113
499	533290.1168
500	532196.4423
501	531806.6653
502	531516.321
503	531187.0535
504	530039.1783
505	529794.9995
506	529524.827
507	528817.5297
508	528398.9752
