iter	Passed	Remaining
0	1	1776
1	3	1823
2	5	1803
3	6	1734
4	8	1705
5	10	1662
6	11	1650
7	13	1631
8	14	1608
9	16	1586
10	17	1560
11	18	1546
12	20	1527
13	21	1518
14	22	1501
15	24	1484
16	25	1467
17	26	1457
18	28	1446
19	29	1430
20	30	1418
21	31	1404
22	32	1398
23	34	1389
24	35	1380
25	36	1379
26	38	1374
27	39	1372
28	40	1366
29	42	1363
30	43	1354
31	44	1349
32	45	1344
33	47	1337
34	48	1338
35	49	1335
36	51	1333
37	52	1327
38	53	1323
39	54	1315
40	55	1309
41	57	1304
42	58	1304
43	59	1301
44	61	1295
45	62	1292
46	63	1293
47	65	1290
48	66	1285
49	67	1282
50	68	1278
51	69	1275
52	71	1271
53	72	1269
54	73	1267
55	75	1264
56	76	1262
57	77	1258
58	78	1253
59	79	1252
60	81	1249
61	82	1248
62	83	1244
63	84	1240
64	85	1236
65	87	1234
66	88	1230
67	89	1230
68	90	1227
69	92	1223
70	93	1224
71	94	1222
72	95	1218
73	97	1216
74	98	1214
75	99	1210
76	100	1208
77	102	1207
78	103	1204
79	104	1202
80	105	1201
81	107	1201
82	108	1200
83	109	1198
84	111	1197
85	112	1195
86	113	1192
87	114	1189
88	115	1185
89	117	1183
90	118	1181
91	119	1179
92	120	1177
93	121	1175
94	123	1172
95	124	1170
96	125	1169
97	126	1166
98	127	1163
99	129	1161
100	130	1159
101	132	1162
102	133	1160
103	134	1159
104	135	1156
105	136	1154
106	138	1152
107	139	1150
108	140	1149
109	141	1146
110	142	1144
111	144	1145
112	145	1141
113	146	1139
114	147	1137
115	149	1136
116	150	1135
117	151	1132
118	152	1130
119	153	1128
120	154	1125
121	156	1123
122	157	1121
123	158	1119
124	159	1117
125	160	1115
126	162	1113
127	163	1113
128	164	1111
129	165	1109
130	166	1107
131	168	1105
132	169	1105
133	170	1103
134	171	1102
135	173	1100
136	174	1098
137	175	1098
138	177	1096
139	178	1095
140	179	1093
141	180	1091
142	181	1089
143	183	1088
144	184	1086
145	185	1086
146	187	1085
147	188	1083
148	189	1081
149	190	1081
150	192	1080
151	193	1078
152	194	1076
153	195	1074
154	196	1071
155	197	1069
156	198	1067
157	200	1066
158	201	1064
159	202	1062
160	203	1061
161	204	1059
162	205	1057
163	207	1056
164	208	1054
165	209	1053
166	210	1051
167	212	1050
168	213	1049
169	214	1047
170	215	1046
171	216	1044
172	218	1043
173	219	1042
174	220	1040
175	221	1038
176	223	1037
177	224	1035
178	225	1034
179	226	1032
180	228	1032
181	229	1030
182	230	1029
183	231	1027
184	233	1026
185	234	1025
186	235	1024
187	236	1022
188	237	1021
189	239	1019
190	240	1018
191	241	1016
192	242	1014
193	244	1013
194	245	1012
195	246	1011
196	247	1010
197	249	1009
198	250	1007
199	251	1006
